state,hazard,annual_freq_trend,r_value,p_value
ALABAMA,wind,0.0289,0.567,0.0031
ALABAMA,winter,0.0055,0.038,0.8586
ALASKA,fire,0.0017,0.021,0.9428
ALASKA,wind,-0.0546,-0.819,0.0
ALASKA,winter,-0.0075,-0.12,0.568
AMERICAN SAMOA,wind,0.0149,0.235,0.3055
ARIZONA,fire,0.0474,0.424,0.0391
ARIZONA,wind,0.0484,0.788,0.0
ARIZONA,winter,0.017,0.224,0.2823
ARKANSAS,fire,-0.0548,-0.182,0.5927
ARKANSAS,wind,-0.0122,-0.309,0.1327
ARKANSAS,winter,0.0666,0.422,0.0356
CALIFORNIA,fire,-0.0152,-0.22,0.2917
CALIFORNIA,wind,0.0586,0.831,0.0
CALIFORNIA,winter,0.0231,0.292,0.1565
COLORADO,fire,0.0096,0.09,0.6763
COLORADO,wind,0.027,0.535,0.0059
COLORADO,winter,0.015,0.406,0.0438
CONNECTICUT,wind,0.041,0.586,0.0021
CONNECTICUT,winter,0.0076,0.133,0.5251
DELAWARE,wind,0.0032,0.043,0.8392
DELAWARE,winter,-0.028,-0.27,0.2024
DISTRICT OF COLUMBIA,wind,0.0335,0.438,0.0287
DISTRICT OF COLUMBIA,winter,0.01,0.154,0.4821
FLORIDA,fire,-0.0279,-0.196,0.359
FLORIDA,wind,0.0273,0.596,0.0016
FLORIDA,winter,-0.0085,-0.073,0.804
GEORGIA,fire,-0.0053,-0.027,0.9211
GEORGIA,wind,0.0237,0.533,0.0061
GEORGIA,winter,-0.1079,-0.687,0.0003
GUAM,wind,-0.0078,-0.119,0.6281
HAWAII,fire,-0.032,-0.404,0.0449
HAWAII,wind,-0.0214,-0.188,0.3678
HAWAII,winter,-0.0295,-0.435,0.0625
IDAHO,fire,0.0293,0.432,0.0394
IDAHO,wind,0.0333,0.511,0.0091
IDAHO,winter,0.0218,0.473,0.0169
ILLINOIS,wind,0.0183,0.438,0.0287
ILLINOIS,winter,-0.0012,-0.014,0.9456
INDIANA,wind,0.0046,0.168,0.4214
INDIANA,winter,0.025,0.256,0.2163
IOWA,wind,-0.0054,-0.169,0.4187
IOWA,winter,0.0064,0.106,0.6144
KANSAS,fire,0.0062,0.041,0.8845
KANSAS,wind,0.0051,0.211,0.3119
KANSAS,winter,-0.0253,-0.393,0.0517
KENTUCKY,wind,0.0175,0.426,0.0337
KENTUCKY,winter,-0.0023,-0.019,0.9277
LOUISIANA,wind,0.0065,0.173,0.4074
LOUISIANA,winter,0.0633,0.39,0.0893
MAINE,wind,-0.0189,-0.367,0.071
MAINE,winter,-0.0111,-0.138,0.5092
MARYLAND,wind,0.031,0.559,0.0037
MARYLAND,winter,0.003,0.039,0.8519
MASSACHUSETTS,wind,0.047,0.58,0.0024
MASSACHUSETTS,winter,-0.0017,-0.027,0.8971
MICHIGAN,fire,0.001,0.02,0.9461
MICHIGAN,wind,-0.013,-0.292,0.1569
MICHIGAN,winter,-0.0036,-0.075,0.7216
MINNESOTA,fire,-0.0117,-0.253,0.453
MINNESOTA,wind,0.0093,0.166,0.4278
MINNESOTA,winter,0.0335,0.529,0.0066
MISSISSIPPI,wind,0.0047,0.15,0.4755
MISSISSIPPI,winter,0.0442,0.258,0.2458
MISSOURI,fire,-0.0695,-0.56,0.0463
MISSOURI,wind,0.0033,0.1,0.6333
MISSOURI,winter,-0.0122,-0.157,0.4537
MONTANA,fire,0.0038,0.028,0.9033
MONTANA,wind,0.0296,0.621,0.0009
MONTANA,winter,0.0073,0.155,0.4607
NEBRASKA,fire,0.0351,0.266,0.3583
NEBRASKA,wind,0.0303,0.718,0.0001
NEBRASKA,winter,0.0138,0.336,0.1006
NEVADA,fire,0.0054,0.071,0.8082
NEVADA,wind,0.0515,0.706,0.0001
NEVADA,winter,0.0348,0.461,0.0203
NEW HAMPSHIRE,wind,0.0046,0.087,0.6803
NEW HAMPSHIRE,winter,-0.0366,-0.473,0.0169
NEW JERSEY,fire,-0.081,-0.635,0.0046
NEW JERSEY,wind,0.01,0.17,0.4175
NEW JERSEY,winter,-0.025,-0.279,0.1767
NEW MEXICO,fire,0.0296,0.295,0.1823
NEW MEXICO,wind,0.0817,0.863,0.0
NEW MEXICO,winter,0.0527,0.556,0.0039
NEW YORK,wind,0.0525,0.865,0.0
NEW YORK,winter,-0.0021,-0.039,0.8535
NORTH CAROLINA,fire,-0.0487,-0.535,0.1111
NORTH CAROLINA,wind,0.0157,0.341,0.0956
NORTH CAROLINA,winter,-0.0357,-0.382,0.0593
NORTH DAKOTA,wind,0.0103,0.194,0.354
NORTH DAKOTA,winter,0.0164,0.21,0.3129
OHIO,wind,0.0091,0.247,0.2336
OHIO,winter,0.0269,0.258,0.2123
OKLAHOMA,fire,0.0963,0.559,0.0084
OKLAHOMA,wind,-0.0037,-0.115,0.5854
OKLAHOMA,winter,-0.0392,-0.293,0.1552
OREGON,fire,0.0022,0.03,0.888
OREGON,wind,-0.0225,-0.419,0.0372
OREGON,winter,-0.018,-0.305,0.138
PENNSYLVANIA,fire,-0.0413,-0.48,0.0437
PENNSYLVANIA,wind,0.0337,0.705,0.0001
PENNSYLVANIA,winter,-0.0099,-0.145,0.4882
PUERTO RICO,fire,-0.0182,-0.194,0.592
PUERTO RICO,wind,0.0188,0.245,0.2374
RHODE ISLAND,wind,0.0431,0.444,0.0261
RHODE ISLAND,winter,-0.0122,-0.163,0.4371
SOUTH CAROLINA,fire,-0.012,-0.129,0.723
SOUTH CAROLINA,wind,0.0246,0.492,0.0126
SOUTH CAROLINA,winter,-0.0565,-0.423,0.0497
SOUTH DAKOTA,fire,-0.0059,-0.064,0.8211
SOUTH DAKOTA,wind,0.0294,0.645,0.0005
SOUTH DAKOTA,winter,0.0494,0.704,0.0001
TENNESSEE,wind,0.0009,0.03,0.887
TENNESSEE,winter,0.023,0.245,0.2385
TEXAS,fire,0.0659,0.381,0.08
TEXAS,wind,0.0124,0.453,0.023
TEXAS,winter,0.0114,0.102,0.6275
UTAH,fire,-0.0066,-0.067,0.7779
UTAH,wind,0.0702,0.869,0.0
UTAH,winter,-0.0139,-0.268,0.1944
VERMONT,wind,0.0195,0.293,0.1546
VERMONT,winter,-0.0137,-0.261,0.2072
VIRGIN ISLANDS,wind,-0.006,-0.08,0.8048
VIRGINIA,fire,-0.0101,-0.187,0.5825
VIRGINIA,wind,0.0319,0.597,0.0016
VIRGINIA,winter,-0.0063,-0.079,0.7062
WASHINGTON,fire,0.0543,0.561,0.0036
WASHINGTON,wind,-0.0069,-0.138,0.5114
WASHINGTON,winter,0.0452,0.626,0.0008
WEST VIRGINIA,wind,0.0344,0.626,0.0008
WEST VIRGINIA,winter,0.0273,0.397,0.0493
WISCONSIN,fire,-0.0087,-0.164,0.5918
WISCONSIN,wind,-0.0032,-0.068,0.7478
WISCONSIN,winter,0.0286,0.479,0.0155
WYOMING,fire,-0.0079,-0.074,0.7492
WYOMING,wind,0.1083,0.787,0.0
WYOMING,winter,0.0692,0.743,0.0
